FAMILIA,OBJETO_ALCANCE,APLICA_PMA_PSM,NUM_FICHAS,FICHAS_APLICAN,AS-1,AS-2,AS-3,AS-4,AS-5,AS-6,AS-6C,AS-7,AS-8,AS-9,AS-10,ARH-1,ARH-2,ARH-2C,ARH-3,ARH-4,ARH-5,ARA-1,ACA-1,ACA-2,BS-1,BS-2,BS-3,BS-4,BPCH-1,BRAI-1,BH-1,BCEVF-1,BC-1,GS-1,GS-2,GS-3,GS-4,GS-5,GS-6,GS-7,GS-7C,ASM-1,ASM-2,ASM-3,ASM-4,ASM-5,BSM-1,BSM-2,BSM-3,SSM-1
Comunicaciones,"Prestar el servicio de cubrimientos periodísticos, de fotografía y video, de los eventos adelantados por la Compañía en su zona de influencia.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Comunicaciones,"Servicio de Telecomunicaciones corporativas para ODL y OBC. Se requiere servicio de telecomunicaciones corporativas hacia Bogotá desde campo, el servicio de Internet, la conexión entre Datacenters y bases de mantenimiento",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"AUDITORIA AL SISTEMA DE CONTROL INTERNO DE OLEODUCTO DE LOS LLANOS ORIENTALES, S.A. - SUCURSAL COLOMBIA Y OLEODUCTO BICENTENARIO DE COLOMBIA S.A.S. 2019 - 2021",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"El Contratista, en virtud de su experiencia en la práctica del derecho, se obligaría para con ODL y/o Bicentenario a prestar servicios de asesoría legal laboral permanente, por expresa solicitud de cualquiera de las Compañías, y en razón del desarrollo de las actividades propias del objeto social de ODL y/o Bicentenario, que incluyen aunque no se limitan a la administración de sus relaciones colectivas y con empresas contratistas (los “Servicios”).",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Consultoria y asesoría técnica durante la implementación del Sistema Gestión Seguridad de Procesos,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Evaluación de tecnologías para estabilización de taludes y bancas de rio en ODL-Bicentenario,True,10,"['AS-2', 'AS-6', 'AS-10', 'ARH-1', 'ARA-1', 'BS-2', 'BS-3', 'BPCH-1', 'BCEVF-1', 'GS-5']",False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,SERVICIO DE INTERVENTORIA ADMINISTRATIVA CON EVENTUAL INTERVENTORIA TECNICA DE LOS CONTRATOS DE MANTENIMIENTO SUSCRITOS POR LOS OLEODUCTOS DE LOS LLANOS ORIENTALES S.A. Y BICENTENARIO DE COLOMBIA S.A.S,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Toma física de los activos de la compañía, análisis de la vida útil económica y técnica de los activos",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Acuerdo de precios para asesorías en materia tributaria, contable y legal",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Servicio de asesoría integral y desarrollo de competencias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Asesoría integral y desarrollo de competencias.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Sesiones de ""pensar diferente para obtener resultados diferentes"" utilizando la herramienta desing thinking.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Prestación del servicio de vigilancia judicial y acompañamiento en procesos de imposición de servidumbre petrolera en el departamento de Casanare,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Implementar la transmisión de mensajes via SWIFT con las fiduciarias,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Prestación de servicios de asesoría legal permanente en asuntos de derecho ambiental y otros,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Acuerdo Marco de Precios para la prestación de servicios de asesoría legal a favor de ODL y/o Bicentenario relacionados con asuntos penales, representación judicial y/o vigilancia judicial de procesos, por rangos de tarifas horarias.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Servicios legales de asesoría en relación con la elaboración de la Matriz Legal de Cumplimiento HSE (SSTA) y su actualización periódica.,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Prestación de servicios de asesoría legal general en los asuntos del día a día de las compañías, de sus proyectos y transacciones corporativas, así como la solucuión de sus diferencias contractuales.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Acuerdo marco de precios para los servicios de asesoría legal permanente en asuntos de derecho corporativo, financiero, administrativo, público, así como relacionada con temas regulatorios, contractuales y demás afines, incluidos temas propios de la industria petrolera y resolución de controversias asociadas.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Acuerdo Marco de Precios para la asesoría legal permanente a favor de  ODL y Bicentenario relacionados con asuntos inmobiliarios, procesos de imposición de servidumbres, querellas policivas, tramite y gestión de solicitudes de entidades territoriales y nacionales.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Acuerdo Marco de Precios para asesoría legal permanente para ODL y Bicentenario relacionada con asuntos corporativos, contractuales, cambiarios, regulatorios, tributario, entes de control, derecho financiero, derecho público, contractual y regulatorio.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Acuerdo Marco de Precios para asesoría legal a favor de ODL y Bicentenario relacionados con asesoría legal relacionada con: (i) asuntos inmobiliarios (estudios de títulos, estudios jurídico catastrales, gestión de negociación directa, trámite ante autoridades y trámites de notariado y registro entre otros), y (ii) asesoría legal y representación judicial en los procesos de avalúo de servidumbre de hidrocarburos y de revisión.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Diseño de la Política de sucesión, para la evaluación de Empleados e identificación del potencial y mapa de talento.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Se requiere validar año a año como evoluciona la proyección de reservas de los bloques en la zona de influencia de los dos oleoductos, para obtener información relevante acerca de crudos que se transportan o se pueden transportar potencialmente por los sistemas ODL y BIC.",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Desarrollos del Sistema de Información Geográfica,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Actualización del plan de manejo ambiental y plan de seguimiento y monitoreo de los oleoductos ODL y BICENTENARIO, Migración pedido 4400000262",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Consultoría y asesoría técnica durante la implementación del Sistema Gestión de Seguridad de Procesos,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,"Elaboración, revisión y actualización de ingenierías, manuales y procedimientos operativos",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,Consultoría para el desarrollo de estudio de la mecánica fluvial de cuerpos de agua- Río Casanare y río Ariporo.,True,15,"['AS-9', 'AS-10', 'ARH-1', 'ARH-2', 'ARH-2C', 'ARH-3', 'ARH-4', 'ARA-1', 'BS-3', 'BPCH-1', 'BCEVF-1', 'GS-5', 'ASM-1', 'BSM-1', 'BSM-2']",False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
Consultoría,"Toma física de activos, análisis de vidas útil y vida económica",False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,IMPLEMENTACION HERRAMIENTA BWISE PARA GESTION DE RIESGOS 2019 - BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Consultoría,SOSTEIMIENTO HERRAMIENTA BWISE PARA GESTION DE RIESGOS 2020 - BICENTENARIO,False,0,[],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
